0,0
0.5,0.0193613
1,0.0387227
1.5,0.058084
2,0.0774453
2.5,0.0968066
3,0.116168
3.5,0.135529
4,0.154891
4.5,0.174252
5,0.193613
5.5,0.212975
6,0.232336
6.5,0.251697
7,0.271059
7.5,0.29042
8,0.309781
8.5,0.329143
9,0.348504
9.5,0.367865
10,0.387227
10.5,0.406588
11,0.425949
11.5,0.445311
12,0.464672
12.5,0.484033
13,0.503395
13.5,0.522756
14,0.542117
14.5,0.561479
15,0.58084
15.5,0.600201
16,0.619562
16.5,0.638924
17,0.658285
17.5,0.677646
18,0.697008
18.5,0.716369
19,0.73573
19.5,0.755092
20,0.774453
20.5,0.793814
21,0.813176
21.5,0.832537
22,0.851898
22.5,0.87126
23,0.890621
23.5,0.909982
24,0.929344
24.5,0.948705
25,0.968066
25.5,0.987428
26,1.00679
26.5,1.02615
27,1.04551
27.5,1.06487
28,1.08423
28.5,1.1036
29,1.12296
29.5,1.14232
30,1.16168
30.5,1.18104
31,1.2004
31.5,1.21976
32,1.23912
32.5,1.28668
33,1.33423
33.5,1.38179
34,1.42934
34.5,1.4769
35,1.52445
35.5,1.57201
36,1.61956
36.5,1.66712
37,1.71467
37.5,1.76223
38,1.80978
38.5,1.85734
39,1.90489
39.5,1.95245
40,2
40.5,2.04755
41,2.09511
41.5,2.14266
42,2.19022
42.5,2.23777
43,2.28533
43.5,2.33288
44,2.38044
44.5,2.42799
45,2.47555
45.5,2.5231
46,2.57066
46.5,2.61821
47,2.66577
47.5,2.71332
48,2.76087
48.5,2.80843
49,2.85598
49.5,2.90354
50,2.95109
50.2514,3.00296
50.5978,3.07174
50.938,3.15755
51.2711,3.25992
51.5963,3.37837
51.9129,3.51236
52.2201,3.66134
52.5173,3.82469
52.8037,4.00179
53.0787,4.19197
53.3418,4.39454
53.5923,4.60879
53.8299,4.83397
54.054,5.06933
54.2643,5.31408
54.4602,5.56743
54.6416,5.82857
54.8082,6.09668
54.9596,6.37093
55.0957,6.65049
55.2163,6.93451
55.3214,7.22215
55.4109,7.51257
55.4848,7.80495
55.5431,8.09844
55.5858,8.39222
55.6132,8.68549
55.6253,8.97744
55.6814,9.26018
55.7233,9.54596
55.7507,9.83408
55.7637,10.1238
55.762,10.4144
55.7457,10.7051
55.7146,10.9953
55.6689,11.2841
55.6086,11.5707
55.5338,11.8546
55.4446,12.1349
55.3412,12.4109
55.2238,12.6819
55.0926,12.9471
54.9479,13.2059
54.7901,13.4577
54.6194,13.7016
54.4363,13.9371
54.2412,14.1635
54.0346,14.3802
53.8168,14.5867
53.5885,14.7823
53.3502,14.9665
53.1024,15.1388
52.8458,15.2988
52.5809,15.4459
52.3083,15.5797
52.0289,15.6999
51.7432,15.8061
51.452,15.8979
51.1559,15.9751
50.8558,16.0375
50.5523,16.0847
50.2462,16.1166
49.9,16.1335
49.4,16.1454
48.9,16.1573
48.4,16.1691
47.9,16.181
47.4,16.1929
46.9,16.2048
46.4,16.2167
45.9,16.2286
45.4,16.2405
44.9,16.2524
44.4,16.2643
43.9,16.2761
43.4,16.288
42.9,16.2999
42.4,16.3118
41.9,16.3237
41.4,16.3356
40.9,16.3475
40.4,16.3594
39.9,16.3713
39.4,16.3831
38.9,16.395
38.4,16.4069
37.9,16.4188
37.4,16.4307
36.9,16.4426
36.4,16.4545
35.9,16.4664
35.4,16.4782
34.9,16.4901
34.4,16.502
33.9,16.5139
33.4,16.5258
32.9,16.5377
32.4,16.5496
31.9,16.5615
31.4,16.5734
30.9,16.5852
30.4,16.5971
29.9,16.609
29.4,16.6209
28.9,16.6328
28.4,16.6447
27.9,16.6566
27.4,16.6685
26.9,16.6804
26.4,16.6922
25.9,16.7041
25.4,16.716
24.9,16.7279
24.4,16.7398
23.9,16.7517
23.4,16.7636
22.9,16.7755
22.4,16.7874
21.9,16.7992
21.4,16.8111
20.9,16.823
20.4,16.8349
19.9,16.8468
19.4,16.8587
18.9,16.8706
18.4,16.8825
17.9,16.8944
17.4,16.9062
16.9,16.9181
16.4,16.93
15.9,16.9419
15.4,16.9538
14.9,16.9657
14.4,16.9776
13.9,16.9895
13.4,17.0014
12.9,17.0132
12.4,17.0251
11.9,17.037
11.4,17.0489
10.9,17.0608
10.4,17.0727
9.9,17.0846
9.4,17.0965
8.9,17.1083
8.4,17.1202
7.9,17.1321
7.4,17.144
6.9,17.1559
6.4,17.1678
5.9,17.1797
5.4,17.1916
4.9,17.2035
4.4,17.2153
3.9,17.2272
3.4,17.2391
2.9,17.251
2.4,17.2629
1.9,17.2748
1.4,17.2867
0.9,17.2986
0.4,17.3105
-0.1,17.3223
-0.6,17.3342
-1.1,17.3461
-1.6,17.358
-2.1,17.3699
-2.6,17.3818
-3.1,17.3937
-3.6,17.4056
-4.1,17.4175
-4.6,17.4293
-5.1,17.4412
-5.6,17.4531
-6.1,17.465
-6.6,17.4769
-7.1,17.4888
-7.6,17.5007
-8.1,17.5126
-8.6,17.5245
-9.1,17.5363
-9.6,17.5482
-10.1,17.5601
-10.6,17.572
-11.1,17.5839
-11.6,17.5958
-12.1,17.6077
-12.6,17.6196
-13.1,17.6315
-13.6,17.6433
-14.1,17.6552
-14.6,17.6671
-15.1,17.679
-15.6,17.6909
-16.1,17.7028
-16.6,17.7147
-17.1,17.7266
-17.6,17.7384
-18.1,17.7503
-18.6,17.7622
-19.1,17.7741
-19.6,17.786
-20.1,17.7979
-20.6,17.8098
-21.1,17.8217
-21.6,17.8336
-22.1,17.8454
-22.6,17.8573
-23.1,17.8692
-23.6,17.8811
-24.1,17.893
-24.6,17.9049
-25.1,17.9168
-25.6,17.9287
-26.1,17.9406
-26.6,17.9524
-27.1,17.9643
-27.6,17.9762
-28.1,17.9881
