0.294543,-10.6751,3.114008061
0.287,-10.8276,3.115092523
0.318514,-10.9913,3.112622024
0.311796,-11.1397,3.113610337
0.29555,-11.2866,3.115412717
0.308557,-11.419,3.114577859
0.364052,-11.5618,3.110115569
0.338258,-11.6888,3.112662086
0.361041,-11.8187,3.111053867
0.358973,-11.9902,3.111662727
0.393413,-12.1306,3.109172563
0.384719,-12.2753,3.110262005
0.420078,-12.4407,3.10783905
0.413388,-12.5895,3.108768512
0.43119,-12.6857,3.107615494
0.443364,-12.8355,3.107064369
0.459679,-12.9958,3.106236043
0.457521,-13.1212,3.106737937
0.444452,-13.2947,3.108174334
0.478646,-13.4409,3.105996539
0.479006,-13.5509,3.106258717
0.483685,-13.6771,3.106242798
0.456098,-13.8036,3.10856271
0.474472,-13.9405,3.107570279
0.481165,-14.1106,3.107506319
0.518575,-14.2297,3.105165631
0.536353,-14.3638,3.104269388
0.562027,-14.4771,3.102790345
0.560307,-14.643,3.103346817
0.551326,-14.759,3.104254774
0.582952,-14.9096,3.102513456
0.623021,-15.0985,3.100352282
0.612513,-15.2031,3.10132574
0.600302,-15.2799,3.10232581
0.599673,-15.4173,3.102716141
0.584205,-15.5043,3.103930279
0.596967,-15.6257,3.103407048
0.613609,-15.7379,3.102623137
0.597873,-15.821,3.103820791
0.622658,-15.9427,3.102556499
0.645879,-16.0928,3.101479526
0.663691,-16.2114,3.100675732
0.682464,-16.3527,3.099882833
0.70162,-16.4967,3.09908734
0.713803,-16.6182,3.098665952
0.707051,-16.7121,3.09931014
0.710498,-16.8531,3.099459306
0.688378,-16.9609,3.101028745
0.694581,-17.1247,3.101054689
0.696975,-17.2518,3.10121448
0.720853,-17.3626,3.100098911
0.755943,-17.4404,3.098275406
0.75362,-17.5618,3.098706508
0.754334,-17.6714,3.098931838
0.758663,-17.785,3.098961035
0.788236,-17.8883,3.097556807
0.79817,-17.9978,3.097273495
0.802476,-18.1166,3.097326523
0.796609,-18.2546,3.097981514
0.803789,-18.3445,3.097804314
